Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Boqii Holding Ltd,BQ,Sell,Filled,35,35,@12.70,12.70,DAY,02/05/2021 08:33:16 EST,02/05/2021 08:33:17 EST
American Well Corp,AMWL,Sell,Cancelled,0,12,@36.50,,DAY,02/04/2021 12:12:29 EST,
WRAP TECHN,WRAP,Buy,Filled,100,100,@6.70,6.70,GTC,02/04/2021 11:15:00 EST,02/04/2021 11:31:10 EST
Corsair Gaming  Inc.,CRSR,Sell,Filled,7,7,@44.53,44.53,DAY,02/04/2021 11:12:16 EST,02/04/2021 11:13:39 EST
Vislink Technologies Inc,VISL,Buy,Filled,200,200,@2.75,2.75,DAY,02/04/2021 10:55:47 EST,02/04/2021 10:56:02 EST
Energy Transfer LP,ET,Buy,Filled,30,30,@6.65,6.65,DAY,02/04/2021 10:27:25 EST,02/04/2021 10:43:12 EST
OPKO Health,OPK,Sell,Filled,30,30,@5.12,5.12,DAY,02/04/2021 10:26:12 EST,02/04/2021 10:26:13 EST
AGEAGLE AERIAL,UAVS,Buy,Filled,100,100,@11.48,11.48,DAY,02/04/2021 10:08:27 EST,02/04/2021 10:09:22 EST
QuantumScape Corp,QS,Buy,Filled,10,10,@48.00,48.00,DAY,02/04/2021 08:08:19 EST,02/04/2021 10:17:38 EST
XPENG INC.,XPEV,Buy,Filled,2,2,@47.31,47.31,DAY,02/02/2021 11:06:27 EST,02/02/2021 11:06:28 EST
Clover Health Investments Corp,CLOV,Sell,Filled,50,50,@14.13,14.13,DAY,02/02/2021 10:01:30 EST,02/02/2021 10:01:35 EST
OPKO Health,OPK,Sell,Cancelled,0,50,@5.60,,DAY,02/02/2021 09:49:14 EST,
Ideanomics Inc,IDEX,Sell,Pending,0,150,3.80,,GTC,02/02/2021 09:43:36 EST,
Ideanomics Inc,IDEX,Sell,Cancelled,0,150,@4.76,,GTC,02/02/2021 09:43:36 EST,
Trident Acquisitions,TDAC,Buy,Cancelled,0,40,@13.20,,DAY,02/02/2021 09:38:30 EST,
BENTLEY SYSTEMS INC,BSY,Buy,Filled,20,20,@44.00,44.00,DAY,02/02/2021 09:37:38 EST,02/02/2021 09:41:26 EST
BENTLEY SYSTEMS INC,BSY,Buy,Filled,5,5,@41.51,41.51,DAY,02/01/2021 11:19:09 EST,02/01/2021 11:19:09 EST
