,Symbol,Expiration,Size,Strike,Spot,Received,Type,Cap,diff,dt
0,SRE,2021/02/19,$360.02K,130.0,121.7,2021/01/20 04:29,Call,360.02,30,20210119
1,XNET,2021/02/19,$150.00K,5.0,4.14,2021/01/20 04:28,Call,150.0,30,20210119
2,ORCL,2022/01/21,$481.65K,50.0,61.44,2021/01/20 04:26,Put,481.65,366,20210119
3,SNAP,2021/01/29,$60.00K,57.0,50.33,2021/01/20 04:26,Call,60.0,9,20210119
4,TRP,2021/03/19,$760.68K,45.0,44.62,2021/01/20 04:24,Call,760.68,58,20210119
5,TMUS,2021/02/19,$90.00K,100.0,130.35,2021/01/20 04:23,Put,90.0,30,20210119
6,TWTR,2021/02/19,$630.00K,45.0,45.82,2021/01/20 04:23,Put,630.0,30,20210119
7,VTRS,2023/01/20,$637.50K,17.5,17.3,2021/01/20 04:20,Call,637.5,730,20210119
8,NOK,2023/01/20,$770.00K,5.0,4.13,2021/01/20 04:20,Call,770.0,730,20210119
9,NOK,2023/01/20,$1.65M,5.0,4.13,2021/01/20 04:20,Put,1650.0,730,20210119
10,CSCO,2021/02/19,$219.00K,45.0,45.15,2021/01/20 04:19,Put,219.0,30,20210119
11,CSCO,2021/02/19,$241.50K,45.0,45.15,2021/01/20 04:19,Call,241.5,30,20210119
12,LI,2021/02/19,$210.00K,49.0,35.44,2021/01/20 04:19,Call,210.0,30,20210119
13,NIO,2021/02/19,$7.92K,11.0,57.98,2021/01/20 04:18,Put,7.92,30,20210119
14,NOV,2021/05/21,$190.35K,17.0,13.91,2021/01/20 04:18,Call,190.35,121,20210119
15,NEM,2022/01/21,$183.00K,100.0,61.82,2021/01/20 04:15,Call,183.0,366,20210119
16,SYF,2021/03/19,$300.00K,38.0,39.7,2021/01/20 04:13,Put,300.0,58,20210119
17,CCL,2021/04/16,$158.00K,30.0,20.96,2021/01/20 04:12,Call,158.0,86,20210119
18,GSX,2021/04/16,$663.00K,90.0,65.1,2021/01/20 04:12,Call,663.0,86,20210119
19,GSX,2021/04/16,$4.41M,90.0,65.1,2021/01/20 04:12,Put,4410.0,86,20210119
20,ADNT,2021/02/19,$1.06M,36.0,34.56,2021/01/20 04:10,Call,1060.0,30,20210119
21,SBUX,2021/03/19,$1.39M,105.0,102.1,2021/01/20 04:05,Call,1390.0,58,20210119
22,SNDL,2021/07/16,$40.00K,2.0,0.68,2021/01/20 04:04,Call,40.0,177,20210119
23,EPD,2021/01/22,$570.01K,21.0,23.4,2021/01/20 04:04,Call,570.01,2,20210119
24,EPD,2021/03/19,$153.37K,24.0,23.4,2021/01/20 04:04,Call,153.37,58,20210119
25,AMC,2021/06/18,$199.80K,2.0,3.01,2021/01/20 04:04,Put,199.8,149,20210119
26,MTCH,2021/02/19,$570.00K,165.0,146.13,2021/01/20 04:03,Call,570.0,30,20210119
27,TSM,2021/02/19,$402.55K,150.0,131.44,2021/01/20 04:01,Call,402.55,30,20210119
28,BK,2021/01/29,$205.92K,45.5,45.74,2021/01/20 03:58,Call,205.92,9,20210119
29,JD,2021/02/19,$1.19M,90.0,91.08,2021/01/20 03:57,Put,1190.0,30,20210119
30,JD,2021/02/19,$1.53M,90.0,91.08,2021/01/20 03:57,Call,1530.0,30,20210119
31,PCG,2021/02/19,$170.00K,12.5,12.1,2021/01/20 03:57,Call,170.0,30,20210119
32,PCG,2021/06/18,$1.54M,13.0,12.1,2021/01/20 03:57,Call,1540.0,149,20210119
33,PCG,2021/06/18,$1.44M,15.0,12.1,2021/01/20 03:57,Call,1440.0,149,20210119
34,SPCE,2021/02/19,$238.44K,44.0,31.71,2021/01/20 03:56,Call,238.44,30,20210119
35,SPCE,2021/03/19,$817.40K,36.0,31.63,2021/01/20 03:55,Call,817.4,58,20210119
36,VALE,2021/04/16,$176.30K,20.0,17.62,2021/01/20 03:52,Call,176.3,86,20210119
37,PBR,2022/01/21,$310.00K,10.0,10.89,2021/01/20 03:51,Put,310.0,366,20210119
38,NIO,2022/01/21,$4.64M,70.0,58.17,2021/01/20 03:50,Call,4640.0,366,20210119
39,SNAP,2021/01/22,$31.97K,55.0,50.18,2021/01/20 03:48,Call,31.97,2,20210119
40,IRBT,2021/02/19,$430.50K,80.0,91.79,2021/01/20 03:46,Put,430.5,30,20210119
41,IRBT,2021/03/19,$1.33M,90.0,91.79,2021/01/20 03:46,Put,1330.0,58,20210119
42,MU,2021/03/19,$2.10M,85.0,85.21,2021/01/20 03:45,Call,2100.0,58,20210119
43,MU,2021/03/19,$2.00M,85.0,85.21,2021/01/20 03:45,Put,2000.0,58,20210119
44,JKS,2021/02/19,$151.56K,40.0,63.4,2021/01/20 03:42,Put,151.56,30,20210119
45,JKS,2021/02/19,$178.13K,90.0,63.4,2021/01/20 03:42,Call,178.13,30,20210119
46,JKS,2021/02/19,$189.79K,90.0,63.4,2021/01/20 03:42,Call,189.79,30,20210119
47,JKS,2021/02/19,$168.75K,40.0,63.4,2021/01/20 03:42,Put,168.75,30,20210119
48,JKS,2021/02/19,$179.69K,40.0,63.4,2021/01/20 03:42,Put,179.69,30,20210119
49,JKS,2021/02/19,$159.98K,90.0,63.4,2021/01/20 03:42,Call,159.98,30,20210119
50,TPR,2021/02/19,$350.00K,29.0,33.5,2021/01/20 03:40,Put,350.0,30,20210119
51,TPR,2021/02/05,$225.00K,39.0,33.5,2021/01/20 03:40,Call,225.0,16,20210119
52,TPR,2021/02/05,$875.00K,33.0,33.5,2021/01/20 03:40,Put,875.0,16,20210119
53,TPR,2021/02/19,$300.00K,39.0,33.5,2021/01/20 03:40,Call,300.0,30,20210119
54,CLA,2021/05/21,$277.50K,20.0,13.72,2021/01/20 03:39,Call,277.5,121,20210119
55,MPLX,2021/02/19,$31.51K,27.0,24.56,2021/01/20 03:38,Call,31.51,30,20210119
56,SNAP,2021/01/22,$84.10K,52.5,49.9,2021/01/20 03:35,Call,84.1,2,20210119
