,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,LVS,2021/03/19,$479.11K,65.0,65.63,2021/03/04 04:29,20210303,Call,479.11,15
1,SLCA,2021/03/19,$79.20K,12.0,13.42,2021/03/04 04:29,20210303,Put,79.2,15
2,NPA,2021/03/19,$12.00K,25.0,12.64,2021/03/04 04:27,20210303,Call,12.0,15
3,DAL,2021/03/19,$300.00K,50.0,48.48,2021/03/04 04:25,20210303,Call,300.0,15
4,AAL,2021/03/19,$57.07K,19.5,22.19,2021/03/04 04:25,20210303,Put,57.07,15
5,QELL,2021/04/16,$199.78K,10.0,10.95,2021/03/04 04:25,20210303,Call,199.78,43
6,PFE,2021/07/16,$73.50K,40.0,34.34,2021/03/04 04:20,20210303,Call,73.5,134
7,RKT,2021/03/19,$2.31M,16.0,28.12,2021/03/04 04:19,20210303,Call,2310.0,15
8,RKT,2021/03/19,$2.33M,18.0,28.12,2021/03/04 04:19,20210303,Call,2330.0,15
9,RKT,2021/03/19,$2.01M,17.0,28.12,2021/03/04 04:19,20210303,Call,2009.9999999999998,15
10,TLRY,2021/03/19,$225.04K,40.0,25.22,2021/03/04 04:17,20210303,Call,225.04,15
11,PLTR,2021/04/16,$1.94M,29.0,23.82,2021/03/04 04:17,20210303,Put,1940.0,43
12,PLTR,2021/03/19,$117.93K,30.5,23.82,2021/03/04 04:17,20210303,Call,117.93,15
13,XOM,2021/04/01,$1.08M,60.0,57.06,2021/03/04 04:15,20210303,Call,1080.0,28
14,DKNG,2021/03/19,$189.72K,85.0,66.8,2021/03/04 04:14,20210303,Call,189.72,15
15,IBM,2023/01/20,$1.33M,95.0,122.51,2021/03/04 04:13,20210303,Put,1330.0,687
16,IBM,2022/01/21,$612.50K,95.0,122.51,2021/03/04 04:13,20210303,Put,612.5,323
17,LVS,2021/04/16,$1.52M,72.5,66.11,2021/03/04 04:10,20210303,Call,1520.0,43
18,PAA,2023/01/20,$3.24M,7.0,9.56,2021/03/04 04:10,20210303,Call,3240.0,687
19,BFT,2021/03/19,$240.00K,15.0,14.8,2021/03/04 04:08,20210303,Call,240.0,15
20,PINS,2021/05/21,$690.00K,100.0,74.45,2021/03/04 04:05,20210303,Call,690.0,78
21,VRTX,2021/04/16,$988.00K,200.0,210.03,2021/03/04 04:03,20210303,Put,988.0,43
22,CNQ,2023/01/20,$1.88M,30.0,29.93,2021/03/04 04:03,20210303,Call,1880.0,687
23,NLSN,2021/04/16,$272.69K,25.0,24.38,2021/03/04 04:00,20210303,Call,272.69,43
24,DASH,2021/03/19,$699.35K,115.0,148.07,2021/03/04 03:59,20210303,Put,699.35,15
25,KR,2021/03/05,$27.50K,36.0,33.16,2021/03/04 03:57,20210303,Call,27.5,1
26,KR,2021/03/05,$47.50K,35.5,33.16,2021/03/04 03:57,20210303,Call,47.5,1
27,KR,2021/03/05,$237.50K,33.0,33.16,2021/03/04 03:57,20210303,Call,237.5,1
28,KR,2021/03/05,$170.00K,33.5,33.16,2021/03/04 03:57,20210303,Call,170.0,1
29,AR,2021/04/16,$108.08K,12.0,9.85,2021/03/04 03:56,20210303,Call,108.08,43
30,PSTH,2021/09/17,$600.00K,45.0,27.88,2021/03/04 03:56,20210303,Call,600.0,197
31,PSTH,2021/09/17,$1.30M,30.0,27.88,2021/03/04 03:56,20210303,Put,1300.0,197
32,PSTH,2021/09/17,$855.00K,22.5,27.88,2021/03/04 03:56,20210303,Put,855.0,197
33,PSAC,2021/04/16,$642.00K,12.5,12.96,2021/03/04 03:56,20210303,Put,642.0,43
34,NPA,2021/05/21,$287.40K,17.5,12.78,2021/03/04 03:55,20210303,Call,287.4,78
35,DELL,2021/03/19,$202.10K,87.5,83.4,2021/03/04 03:53,20210303,Call,202.1,15
36,KR,2021/03/05,$460.00K,33.0,33.25,2021/03/04 03:53,20210303,Call,460.0,1
37,KR,2021/03/05,$90.00K,35.5,33.25,2021/03/04 03:53,20210303,Call,90.0,1
38,VRTX,2021/04/16,$1.04M,200.0,209.67,2021/03/04 03:51,20210303,Put,1040.0,43
39,LVS,2021/04/16,$1.03M,75.0,66.27,2021/03/04 03:51,20210303,Call,1030.0,43
40,LVS,2021/03/19,$960.00K,67.5,66.27,2021/03/04 03:51,20210303,Call,960.0,15
41,LVS,2021/04/16,$2.74M,67.5,66.27,2021/03/04 03:51,20210303,Call,2740.0,43
42,GPS,2021/04/16,$74.03K,33.0,25.86,2021/03/04 03:50,20210303,Call,74.03,43
43,GPS,2021/04/16,$296.10K,27.0,25.86,2021/03/04 03:50,20210303,Call,296.1,43
44,PDD,2021/03/19,$1.07M,185.0,168.01,2021/03/04 03:48,20210303,Call,1070.0,15
45,KGC,2021/05/21,$22.00K,10.0,6.36,2021/03/04 03:48,20210303,Call,22.0,78
46,PDD,2021/03/19,$670.00K,200.0,167.46,2021/03/04 03:47,20210303,Call,670.0,15
47,AR,2021/03/19,$50.80K,11.0,9.81,2021/03/04 03:47,20210303,Call,50.8,15
48,LVS,2021/03/19,$204.00K,72.5,66.43,2021/03/04 03:46,20210303,Call,204.0,15
49,LVS,2021/03/19,$2.07M,60.0,66.47,2021/03/04 03:45,20210303,Call,2070.0,15
50,LVS,2021/05/21,$1.98M,65.0,66.47,2021/03/04 03:45,20210303,Call,1980.0,78
51,PINS,2021/05/21,$825.00K,100.0,74.7,2021/03/04 03:44,20210303,Call,825.0,78
52,PINS,2021/05/21,$2.31M,80.0,74.7,2021/03/04 03:44,20210303,Call,2310.0,78
53,PINS,2021/03/19,$513.00K,85.0,74.72,2021/03/04 03:44,20210303,Call,513.0,15
54,PLUG,2021/03/05,$416.33K,45.0,44.5,2021/03/04 03:39,20210303,Put,416.33,1
55,ALXN,2021/03/19,$335.58K,145.0,148.5,2021/03/04 03:36,20210303,Put,335.58,15
56,MILE,2021/09/17,$375.00K,20.0,11.88,2021/03/04 03:36,20210303,Call,375.0,197
57,LVS,2021/05/21,$1.80M,60.0,66.01,2021/03/04 03:35,20210303,Put,1800.0,78
58,LVS,2021/05/21,$5.40M,72.5,66.0,2021/03/04 03:35,20210303,Call,5400.0,78
59,LVS,2021/04/16,$169.36K,45.0,66.0,2021/03/04 03:35,20210303,Put,169.36,43
60,LVS,2021/04/16,$11.37M,57.5,66.0,2021/03/04 03:35,20210303,Call,11370.0,43
61,ACB,2021/04/16,$137.54K,17.0,10.29,2021/03/04 03:34,20210303,Call,137.54,43
62,JNJ,2021/04/16,$1.25M,160.0,156.72,2021/03/04 03:33,20210303,Put,1250.0,43
63,JNJ,2021/06/18,$2.52M,165.0,156.73,2021/03/04 03:33,20210303,Put,2520.0,106
64,MU,2021/04/16,$156.00K,70.0,88.66,2021/03/04 03:31,20210303,Put,156.0,43
65,PSXP,2021/09/17,$1.60M,30.0,29.28,2021/03/04 03:30,20210303,Call,1600.0,197
66,PSXP,2021/09/17,$625.00K,37.5,29.28,2021/03/04 03:30,20210303,Call,625.0,197
67,WDC,2021/05/21,$1.90M,70.0,68.97,2021/03/04 03:29,20210303,Call,1900.0,78
68,DNN,2021/04/16,$23.98K,2.5,1.11,2021/03/04 03:28,20210303,Call,23.98,43
69,PINS,2021/05/21,$8.07M,80.0,73.56,2021/03/04 03:27,20210303,Call,8070.0,78
70,PINS,2021/03/19,$1.87M,80.0,73.56,2021/03/04 03:27,20210303,Call,1870.0,15
71,DKNG,2021/05/21,$1.22M,65.0,65.42,2021/03/04 03:25,20210303,Call,1220.0,78
72,JD,2021/04/16,$1.34M,95.0,93.29,2021/03/04 03:25,20210303,Call,1340.0,43
73,BTWN,2021/04/16,$425.00K,12.5,12.12,2021/03/04 03:23,20210303,Put,425.0,43
74,BTWN,2021/04/16,$137.50K,17.5,12.12,2021/03/04 03:23,20210303,Call,137.5,43
75,BTWN,2021/04/16,$75.00K,25.0,12.12,2021/03/04 03:23,20210303,Call,75.0,43
76,KHC,2022/01/21,$1.43M,35.0,37.75,2021/03/04 03:23,20210303,Call,1430.0,323
77,XOM,2021/03/19,$140.36K,60.0,57.39,2021/03/04 03:20,20210303,Call,140.36,15
78,XOM,2021/03/19,$156.16K,60.0,57.39,2021/03/04 03:19,20210303,Call,156.16,15
79,CSCO,2021/03/19,$71.59K,43.0,45.26,2021/03/04 03:15,20210303,Put,71.59,15
80,ET,2021/03/19,$10.81K,9.0,7.98,2021/03/04 03:10,20210303,Call,10.81,15
81,PLTR,2021/06/18,$1.25M,30.0,23.79,2021/03/04 03:10,20210303,Call,1250.0,106
82,JPM,2021/09/17,$1.04M,170.0,153.58,2021/03/04 03:09,20210303,Call,1040.0,197
83,MPLN,2021/07/16,$53.40K,10.0,6.53,2021/03/04 03:09,20210303,Call,53.4,134
84,VALE,2021/04/16,$70.84K,19.0,17.4,2021/03/04 03:08,20210303,Call,70.84,43
85,VALE,2021/04/16,$60.80K,19.0,17.4,2021/03/04 03:08,20210303,Call,60.8,43
86,VALE,2021/04/16,$57.90K,19.0,17.41,2021/03/04 03:07,20210303,Call,57.9,43
87,VALE,2021/04/16,$64.64K,19.0,17.41,2021/03/04 03:07,20210303,Call,64.64,43
