,Symbol,Type,count,max
0,AAL,Call,1,46.2
1,PCG,Put,1,45.0
2,PBI,Put,1,662.5
3,OXY,Put,1,555.0
4,OSUR,Put,1,225.0
5,OR,Call,1,198.0
6,NYCB,Put,1,64.63
7,NIU,Put,1,240.0
8,NG,Call,1,108.75
9,MSFT,Put,1,639.0
10,MRO,Put,1,31.63
11,MPLN,Call,1,72.0
12,MGY,Put,1,420.0
13,LVS,Put,1,357.0
14,LVS,Call,1,136.5
15,LUMN,Put,1,684.0
16,KNDI,Put,1,102.7
17,KKR,Put,1,405.6
18,JD,Put,1,1210.0
19,GSM,Put,1,300.0
20,GPS,Put,1,33.0
21,GPS,Call,1,24.0
22,GPRO,Put,1,93.24
23,GPRO,Call,1,62.52
24,GM,Put,1,194.1
25,GM,Call,1,76.51
26,GLUU,Call,1,108.71
27,GFI,Call,1,192.97
28,GCI,Call,1,53.18
29,FTI,Call,1,1380.0
30,PFE,Call,1,445.0
31,FSLR,Call,1,950.0
32,PLUG,Call,1,3.65
33,PVG,Put,1,349.99
34,XENT,Put,1,200.0
35,X,Put,1,275.0
36,X,Call,1,257.4
37,WFC,Call,1,24.0
38,VXRT,Put,1,46.05
39,VXRT,Call,1,6.35
40,VSTM,Call,1,6.9
41,VRT,Put,1,90.0
42,VFF,Call,1,160.0
43,UUUU,Put,1,85.0
44,UAL,Call,1,1220.0
45,TRXC,Put,1,56.0
46,TLRY,Call,1,198.4
47,THC,Put,1,100.0
48,TEN,Call,1,50.65
49,TAP,Put,1,81.18
50,TAP,Call,1,108.24
51,SWCH,Call,1,63.0
52,SWBI,Put,1,128.38
53,SRNE,Put,1,209.84
54,SNSS,Put,1,43.05
55,SMED,Put,1,90.0
56,SLCA,Call,1,90.54
57,SDC,Call,1,47.17
58,RWT,Put,1,51.34
59,RIOT,Call,1,141.41
60,REZI,Call,1,139.02
61,REV,Put,1,160.0
62,REV,Call,1,115.0
63,PSTH,Call,1,1120.0
64,FRO,Put,1,30.0
65,KGC,Call,1,567.0
66,ZNGA,Put,1,230.0
67,CCL,Put,1,368.94
68,ELAN,Put,1,124.06
69,EC,Call,1,47.38
70,BRK/B,Put,1,44.0
71,E,Call,1,72.92
72,DVN,Call,1,93.46
73,BSX,Call,1,264.0
74,BTG,Call,1,50.0
75,BHC,Put,1,279.0
76,C,Call,1,18.0
77,CX,Call,1,54.09
78,CVE,Call,1,125.0
79,CSCO,Put,1,945.0
80,CAN,Call,1,189.1
