,Symbol,Type,count,max
0,GM,Call,21,1540.0
1,DD,Put,9,10990.0
2,BYND,Put,7,56150.0
3,MOMO,Call,6,570.21
4,DISH,Call,6,3810.0
5,FUBO,Call,6,7900.0
6,GE,Call,6,330.0
7,LAZR,Call,6,5760.0
8,AAL,Put,6,865.0
9,GSX,Put,6,2210.0
10,SPCE,Call,5,553.12
11,VALE,Call,5,600.0
12,FCX,Call,4,520.15
13,IFF,Put,4,6160.0
14,HLT,Put,4,1720.0
15,XOM,Call,4,2730.0
16,GPS,Call,4,667.5
17,BHC,Call,4,577.82
18,PRTY,Call,4,786.6
19,GE,Put,4,108.0
20,UBER,Call,4,645.06
21,NIU,Put,3,963.2
22,DD,Call,3,88.0
23,DISH,Put,3,2830.0
24,FANG,Call,3,4360.0
25,GLNG,Put,3,450.0
26,URBN,Put,3,1070.0
27,TGT,Call,3,6140.0
28,GME,Put,3,4330.0
29,CSCO,Put,3,2540.0
30,JBLU,Call,3,401.52
31,AAL,Call,3,76.4
32,ZTO,Put,3,214.94
33,BBBY,Put,3,393.75
34,CARA,Call,2,1480.0
35,MAC,Put,2,306.95
36,BFT,Call,2,867.0
37,GOEV,Put,2,413.7
38,GOGO,Call,2,181.04
39,TSM,Put,2,986.85
40,BBD,Put,2,280.0
41,GPS,Put,2,1340.0
42,HLT,Call,2,1370.0
43,HZNP,Call,2,1130.0
44,BABA,Call,2,1800.0
45,SPWR,Call,2,264.71
46,SNAP,Put,2,3310.0
47,SNAP,Call,2,3940.0
48,MGNI,Call,2,2009.9999999999998
49,BMY,Call,2,1470.0
50,SKT,Put,2,701.31
51,SFM,Put,2,326.7
52,SE,Put,2,3910.0
53,SE,Call,2,5500.0
54,SABR,Call,2,1090.0
55,NIO,Call,2,2890.0
56,QS,Call,2,747.84
57,PXD,Put,2,1210.0
58,OPEN,Call,2,2200.0
59,ALNY,Put,2,1100.0
60,PLUG,Call,2,15340.0
61,PBR,Call,2,96.0
62,PFE,Call,2,51.33
63,TWTR,Put,2,228.0
64,HUN,Put,2,795.0
65,PEIX,Call,2,115.0
66,ESPR,Put,2,200.0
67,VUZI,Call,2,1510.0
68,WYND,Call,2,510.0
69,VIR,Put,2,686.0
70,DVN,Put,2,918.0
71,CSCO,Call,2,290.0
72,VIAC,Put,2,1410.0
73,VECO,Put,2,73.7
74,ABBV,Call,2,824.41
75,VALE,Put,2,2250.0
76,VSTO,Call,2,287.5
77,ZM,Call,2,55500.0
78,ZS,Call,2,340.6
79,FCEL,Call,2,490.0
80,CCL,Call,2,805.0
81,FOXA,Put,2,210.0
82,ZNGA,Call,2,375.0
83,VTRS,Call,1,164.7
84,SMED,Put,1,90.0
85,SLM,Put,1,1200.0
86,SLB,Call,1,493.61
87,WDC,Call,1,75.0
88,WISH,Call,1,137.36
89,SKLZ,Put,1,680.0
90,SKLZ,Call,1,880.0
91,WPM,Put,1,202.65
92,PLTR,Put,1,55.52
93,WYNN,Put,1,529.75
94,WYND,Put,1,770.0
95,XOM,Put,1,705.0
96,RHI,Put,1,55.0
97,RHI,Call,1,70.0
98,PNC,Call,1,680.0
99,RF,Call,1,115.0
100,SNDL,Call,1,25.32
101,QELL,Put,1,320.0
102,QELL,Call,1,3500.0
103,PYPL,Call,1,827.0
104,PPL,Call,1,25.45
105,X,Call,1,257.4
106,UPS,Put,1,710.0
107,SNSS,Put,1,43.05
108,SOLO,Call,1,132.3
109,UBS,Call,1,409.69
110,ACB,Call,1,110.4
111,UAL,Put,1,182.0
112,UAL,Call,1,55.47
113,ABNB,Put,1,2560.0
114,USB,Call,1,490.0
115,ABBV,Put,1,407.5
116,TRIL,Call,1,350.0
117,TMUS,Put,1,837.5
118,TLRY,Put,1,684.77
119,TLRY,Call,1,412.77
120,TJX,Call,1,309.97
121,AG,Call,1,134.0
122,PENN,Call,1,1610.0
123,TFC,Call,1,302.93
124,TAK,Put,1,1610.0
125,TAK,Call,1,360.0
126,SWCH,Call,1,157.5
127,SU,Call,1,204.0
128,STT,Call,1,130.0
129,STAY,Call,1,180.0
130,SRNE,Put,1,209.84
131,SQ,Put,1,3000.0
132,SQ,Call,1,6630.0
133,SPWR,Put,1,126.0
134,VOD,Call,1,130.6
135,SPH,Call,1,55.0
136,UPS,Call,1,1200.0
137,ALLY,Put,1,294.0
138,SPCE,Put,1,924.0
139,NVDA,Call,1,8039.999999999999
140,PDD,Call,1,505.4
141,EBAY,Call,1,140.0
142,BMY,Put,1,98.0
143,FSR,Call,1,420.0
144,BLMN,Call,1,3250.0
145,BILI,Put,1,1290.0
146,BIDU,Put,1,234.12
147,GLUU,Call,1,108.71
148,BFT,Put,1,408.0
149,GM,Put,1,1680.0
150,GME,Call,1,1410.0
151,GOLD,Put,1,610.0
152,GSAT,Call,1,175.0
153,GSX,Call,1,187.0
154,HCA,Call,1,1700.0
155,HEXO,Put,1,102.0
156,BAX,Put,1,57.0
157,HUN,Call,1,510.0
158,HWM,Call,1,245.0
159,BP,Call,1,89.26
160,DXC,Put,1,132.5
161,PBR,Put,1,268.8
162,DXC,Call,1,397.49
163,CFR,Call,1,358.5
164,CLOV,Call,1,300.0
165,CME,Put,1,580.0
166,CNC,Put,1,63.25
167,CRM,Call,1,3940.0
168,CRM,Put,1,4940.0
169,CAN,Put,1,200.0
170,CSTM,Put,1,79.5
171,DBX,Put,1,1060.0
172,BYND,Call,1,373.5
173,BSX,Put,1,135.2
174,DDD,Call,1,140.0
175,DISCA,Put,1,738.0
176,DISCK,Call,1,100.0
177,BSX,Call,1,60.42
178,BP,Put,1,421.2
179,DOW,Put,1,735.0
180,IFF,Call,1,70.0
181,BAX,Call,1,165.0
182,IOVA,Put,1,360.0
183,IPOF,Call,1,187.92
184,MLCO,Put,1,105.0
