,dt,cnt
LVS,7,31
AAL,7,38
UBER,7,32
GE,7,55
VIAC,7,26
KO,7,21
PLUG,7,14
XOM,7,39
MU,7,32
SKT,7,19
JPM,7,19
X,7,8
NIO,7,38
BABA,7,45
CCL,7,21
NOK,7,43
PBR,7,19
CSCO,7,26
BHC,7,29
DD,7,103
GM,7,96
SNAP,7,36
OXY,6,17
TLRY,6,27
BB,6,14
VALE,6,42
GSX,6,44
PLTR,6,59
FCX,6,19
ZNGA,6,26
PDD,6,15
PFE,6,34
WMT,6,11
BMY,6,12
JNJ,6,12
TSM,6,30
DAL,6,23
SQ,6,12
TWTR,6,13
OPEN,6,20
GSAT,4,28
BBBY,5,24
GME,5,23
IFF,5,23
SPCE,4,22
CMCSA,5,20
AMC,4,19
UAL,5,17
MAC,5,16
FUBO,4,16
BILI,5,15
CCIV,4,14
TEVA,5,13
JD,5,12
IQ,4,12
ABBV,5,11
DVN,5,11
NIU,4,11
PINS,5,10
AEO,5,10
GOLD,5,10
FCEL,4,10
RIG,4,10
ORCL,5,9
LI,5,9
DIS,5,9
ET,5,9
CLOV,4,9
SFM,4,9
HEXO,5,8
CRM,4,8
SLB,4,8
BP,5,7
ACB,5,7
TRXC,4,7
EGO,4,7
SNDL,4,7
MRK,4,7
TJX,5,6
PSTH,4,6
IBM,4,6
HZNP,4,6
GILD,4,6
GOGO,4,6
JMIA,5,5
Z,4,5
ATVI,4,5
WMB,4,5
XPEV,4,5
VIPS,4,5
RTX,4,5
PBI,4,5
GFI,4,4
SYF,3,19
BYND,3,17
TPR,2,13
MRVL,3,12
FSLY,3,12
HLT,3,12
AA,3,11
TAK,3,11
DISH,3,11
GPS,3,11
SENS,3,9
ZM,3,9
GOEV,3,9
QS,3,9
NNDM,3,9
NYMT,3,9
BIDU,3,9
TSEM,2,9
MA,3,8
FANG,3,8
IPOF,3,8
RIOT,3,8
PG,3,8
BLMN,3,8
LAZR,3,7
MGM,3,7
CPRI,3,7
JBLU,3,7
FOLD,3,7
COP,3,7
RRC,3,7
AMAT,3,7
NVDA,3,7
RCL,2,7
MOMO,2,7
ROST,2,7
UNFI,3,6
SE,3,6
LEN,3,6
CVS,3,6
CRSR,3,6
ETSY,3,6
RKT,3,6
BFT,3,6
PTON,2,6
ZS,2,6
RL,2,6
ELY,2,6
W,2,6
SPG,3,5
WDC,3,5
ZTO,3,5
ACIA,3,5
NCLH,3,5
AXTA,3,5
NEM,3,5
CCJ,3,5
CAR,3,5
BBD,2,5
PAAS,2,5
SFIX,2,5
PRTY,2,5
TPGY,2,5
HUN,2,5
ERIC,2,5
FLEX,2,5
SBUX,2,5
SBH,2,5
CNX,2,5
ITUB,2,5
KGC,2,5
TAP,3,4
VIR,3,4
TMUS,3,4
CSTM,3,4
KR,3,4
LB,3,4
DBX,3,4
MGNI,3,4
MPC,3,4
M,3,4
FOXA,3,4
FIS,3,4
EBAY,3,4
IDEX,3,4
ETM,3,4
RWT,3,4
CNK,3,4
QCOM,3,4
ABR,3,4
BE,3,4
PXD,2,4
NTNX,2,4
AU,2,4
WBA,2,4
GLNG,2,4
USB,2,4
CX,2,4
CWH,2,4
ESI,2,4
EPR,2,4
CTSH,2,4
ITP,2,4
SWBI,2,4
JWN,2,4
KNDI,2,4
STNE,3,3
SU,3,3
TXN,3,3
VFC,3,3
VTRS,3,3
LMT,3,3
CREE,3,3
HAL,3,3
EXC,3,3
RF,3,3
PPL,3,3
BEAM,3,3
AMT,3,3
MTDR,2,3
RDS/A,2,3
YNDX,2,3
SLG,2,3
PAGP,2,3
AMRN,2,3
OMER,2,3
APHA,2,3
PEIX,2,3
SKX,2,3
AUY,2,3
SIX,2,3
DLTR,2,3
DKNG,2,3
TME,2,3
GOOGL,2,3
DISCA,2,3
CXW,2,3
FAST,2,3
FBP,2,3
UA,2,3
FE,2,3
ENPH,2,3
FSLR,2,3
LLY,2,3
CARR,2,3
VUZI,2,3
BSX,2,3
BRK/B,2,3
BNS,2,3
TELL,2,3
INSG,2,3
CLF,2,3
PYPL,2,2
YUM,2,2
BEKE,2,2
SCHW,2,2
PACB,2,2
PANW,2,2
MRO,2,2
APD,2,2
SLQT,2,2
ALLY,2,2
PEP,2,2
PHM,2,2
NOV,2,2
SNSS,2,2
PNC,2,2
SFT,2,2
NLOK,2,2
GLUU,2,2
DOW,2,2
DDD,2,2
GSM,2,2
HCC,2,2
HP,2,2
TM,2,2
GEO,2,2
GCI,2,2
FEYE,2,2
GCO,2,2
FLWS,2,2
FNF,2,2
ELAN,2,2
FTCH,2,2
SPWR,2,2
CSIQ,2,2
CDE,2,2
LOW,2,2
LUMN,2,2
LYFT,2,2
CAN,2,2
LAC,2,2
SSRM,2,2
MFA,2,2
MGY,2,2
MPLN,2,2
MARA,2,2
CFII,2,2
VFF,2,2
CNC,2,2
KTB,2,2
RIO,2,2
SWCH,2,2
CLGX,2,2
KMI,2,2
VRT,2,2
TRGP,2,2
RXT,1,1
TAL,1,2
IPOE,1,2
CBAT,1,9
IPHI,1,1
IOVA,1,1
INFI,1,1
INAQ,1,1
IGT,1,1
IDRA,1,1
TD,1,1
IBN,1,1
IBKR,1,1
IAA,1,1
TEN,1,1
HWM,1,1
HUM,1,2
HRB,1,1
SBSW,1,1
JKS,1,7
IRDM,1,1
ISBC,1,1
STPK,1,1
STT,1,1
LAUR,1,1
KURA,1,1
KSS,1,2
APA,1,7
KLIC,1,1
KKR,1,1
TFC,1,1
KIRK,1,1
KHC,1,2
KBH,1,1
SUI,1,1
IPOD,1,6
SWK,1,1
IVZ,1,1
IRBT,1,4
IT,1,1
KIM,1,1
IVR,1,4
HGEN,1,4
TGH,1,1
FTI,1,2
FTAI,1,1
FSR,1,1
TRP,1,1
FRT,1,1
FRO,1,1
FREE,1,1
FOSL,1,1
TROX,1,1
LH,1,4
FIZZ,1,1
FIVN,1,2
FHN,1,1
TXRH,1,1
UAA,1,2
EXEL,1,1
UBS,1,1
EVRI,1,1
QTT,1,4
LBTYA,1,1
TRIT,1,1
GHIV,1,1
HES,1,1
HCA,1,1
HAS,1,1
PLAY,1,4
HAIN,1,2
THC,1,2
XP,1,4
STWD,1,3
TRIL,1,1
GS,1,1
GPRO,1,2
HL,1,3
