,Symbol,Type_14,count_14,max_14,Type_15,count_15,max_15,Type,count,max
0,VIAC,Call,9,1130.0,Call,1,292.5,Put,2,1410.0
1,VIAC,Put,3,750.0,Call,1,292.5,Put,2,1410.0
2,PFE,Call,7,499.7,Call,2,445.0,Call,2,51.33
3,PFE,Call,7,499.7,Put,1,230.0,Call,2,51.33
4,PFE,Put,5,516.91,Call,2,445.0,Call,2,51.33
5,PFE,Put,5,516.91,Put,1,230.0,Call,2,51.33
6,BBBY,Call,6,1420.0,Put,1,73.78,Put,3,393.75
7,BBBY,Put,5,1080.0,Put,1,73.78,Put,3,393.75
8,SPCE,Call,6,609.0,Call,2,94.27,Call,5,553.12
9,SPCE,Call,6,609.0,Call,2,94.27,Put,1,924.0
10,SPCE,Put,3,3120.0,Call,2,94.27,Call,5,553.12
11,SPCE,Put,3,3120.0,Call,2,94.27,Put,1,924.0
12,GM,Call,6,3870.0,Call,6,714.0,Call,21,1540.0
13,GM,Call,6,3870.0,Call,6,714.0,Put,1,1680.0
14,GM,Call,6,3870.0,Put,3,2750.0,Call,21,1540.0
15,GM,Call,6,3870.0,Put,3,2750.0,Put,1,1680.0
16,GM,Put,2,2550.0,Call,6,714.0,Call,21,1540.0
17,GM,Put,2,2550.0,Call,6,714.0,Put,1,1680.0
18,GM,Put,2,2550.0,Put,3,2750.0,Call,21,1540.0
19,GM,Put,2,2550.0,Put,3,2750.0,Put,1,1680.0
20,DD,Call,5,3780.0,Put,8,9780.0,Put,9,10990.0
21,DD,Call,5,3780.0,Put,8,9780.0,Call,3,88.0
22,DD,Call,5,3780.0,Call,4,75.0,Put,9,10990.0
23,DD,Call,5,3780.0,Call,4,75.0,Call,3,88.0
24,DD,Put,3,11140.0,Put,8,9780.0,Put,9,10990.0
25,DD,Put,3,11140.0,Put,8,9780.0,Call,3,88.0
26,DD,Put,3,11140.0,Call,4,75.0,Put,9,10990.0
27,DD,Put,3,11140.0,Call,4,75.0,Call,3,88.0
28,UBER,Call,5,920.7,Call,2,156.0,Call,4,645.06
29,UBER,Call,5,920.7,Put,1,152.1,Call,4,645.06
30,UBER,Put,2,944.64,Call,2,156.0,Call,4,645.06
31,UBER,Put,2,944.64,Put,1,152.1,Call,4,645.06
32,PLTR,Call,5,1210.0,Put,4,1450.0,Put,1,55.52
33,PLTR,Call,5,1210.0,Call,1,305.91,Put,1,55.52
34,PLTR,Put,4,435.0,Put,4,1450.0,Put,1,55.52
35,PLTR,Put,4,435.0,Call,1,305.91,Put,1,55.52
36,LVS,Call,4,1620.0,Call,7,606.89,Call,1,901.0
37,LVS,Call,4,1620.0,Put,2,357.0,Call,1,901.0
38,LVS,Put,2,279.67,Call,7,606.89,Call,1,901.0
39,LVS,Put,2,279.67,Put,2,357.0,Call,1,901.0
40,AAL,Call,4,495.0,Put,7,250.0,Put,6,865.0
41,AAL,Call,4,495.0,Put,7,250.0,Call,3,76.4
42,AAL,Call,4,495.0,Call,1,46.2,Put,6,865.0
43,AAL,Call,4,495.0,Call,1,46.2,Call,3,76.4
44,AAL,Put,2,389.0,Put,7,250.0,Put,6,865.0
45,AAL,Put,2,389.0,Put,7,250.0,Call,3,76.4
46,AAL,Put,2,389.0,Call,1,46.2,Put,6,865.0
47,AAL,Put,2,389.0,Call,1,46.2,Call,3,76.4
48,NOK,Put,4,118.73,Call,5,335.38,Call,1,40.58
49,NOK,Put,4,118.73,Put,3,314.7,Call,1,40.58
50,NOK,Call,3,301.18,Call,5,335.38,Call,1,40.58
51,NOK,Call,3,301.18,Put,3,314.7,Call,1,40.58
52,GME,Call,3,6030.0,Put,2,956.25,Put,3,4330.0
53,GME,Call,3,6030.0,Put,2,956.25,Call,1,1410.0
54,GME,Put,3,1250.0,Put,2,956.25,Put,3,4330.0
55,GME,Put,3,1250.0,Put,2,956.25,Call,1,1410.0
56,FCX,Call,3,578.79,Call,1,225.38,Call,4,520.15
57,CSCO,Call,3,1400.0,Put,3,945.0,Put,3,2540.0
58,CSCO,Call,3,1400.0,Put,3,945.0,Call,2,290.0
59,CSCO,Put,2,343.75,Put,3,945.0,Put,3,2540.0
60,CSCO,Put,2,343.75,Put,3,945.0,Call,2,290.0
61,KO,Put,3,1000.0,Call,1,104.76,Call,1,1460.0
62,KO,Put,3,1000.0,Put,1,171.0,Call,1,1460.0
63,KO,Call,1,830.0,Call,1,104.76,Call,1,1460.0
64,KO,Call,1,830.0,Put,1,171.0,Call,1,1460.0
65,FCEL,Call,3,2010.0,Call,2,1810.0,Call,2,490.0
66,FCEL,Put,1,833.0,Call,2,1810.0,Call,2,490.0
67,XOM,Call,3,2750.0,Call,7,727.2,Call,4,2730.0
68,XOM,Call,3,2750.0,Call,7,727.2,Put,1,705.0
69,XOM,Call,3,2750.0,Put,4,435.82,Call,4,2730.0
70,XOM,Call,3,2750.0,Put,4,435.82,Put,1,705.0
71,XOM,Put,1,150.0,Call,7,727.2,Call,4,2730.0
72,XOM,Put,1,150.0,Call,7,727.2,Put,1,705.0
73,XOM,Put,1,150.0,Put,4,435.82,Call,4,2730.0
74,XOM,Put,1,150.0,Put,4,435.82,Put,1,705.0
75,BHC,Put,3,430.0,Put,3,660.0,Call,4,577.82
76,BHC,Put,3,430.0,Call,1,2650.0,Call,4,577.82
77,BHC,Call,2,2480.0,Put,3,660.0,Call,4,577.82
78,BHC,Call,2,2480.0,Call,1,2650.0,Call,4,577.82
79,HEXO,Call,2,241.28,Call,1,47.38,Put,1,102.0
80,HEXO,Put,1,121.88,Call,1,47.38,Put,1,102.0
81,NIO,Call,2,3430.0,Put,7,5000.0,Call,2,2890.0
82,NIO,Call,2,3430.0,Put,7,5000.0,Put,1,2980.0
83,NIO,Call,2,3430.0,Call,6,5600.0,Call,2,2890.0
84,NIO,Call,2,3430.0,Call,6,5600.0,Put,1,2980.0
85,NIO,Put,1,192.0,Put,7,5000.0,Call,2,2890.0
86,NIO,Put,1,192.0,Put,7,5000.0,Put,1,2980.0
87,NIO,Put,1,192.0,Call,6,5600.0,Call,2,2890.0
88,NIO,Put,1,192.0,Call,6,5600.0,Put,1,2980.0
89,MU,Call,2,292.93,Call,4,1950.0,Call,1,1230.0
90,MU,Put,1,476.66,Call,4,1950.0,Call,1,1230.0
91,PDD,Put,2,2130.0,Call,2,260.0,Call,1,505.4
92,PDD,Put,2,2130.0,Put,1,537.0,Call,1,505.4
93,HZNP,Call,2,996.91,Call,1,65.52,Call,2,1130.0
94,JPM,Call,2,1530.0,Call,2,512.5,Call,1,1310.0
