,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff,today
0,DISCA,2021/03/19,$738.00K,35.0,36.81,2021/01/14 04:09,20210113,Put,738.0,45,7
1,PBI,2023/01/20,$662.50K,5.0,7.35,2021/01/14 04:07,20210113,Put,662.5,717,679
2,PBI,2022/01/21,$322.50K,7.0,7.35,2021/01/14 04:07,20210113,Call,322.5,353,315
3,VTRS,2021/04/16,$164.70K,20.0,18.56,2021/01/14 04:06,20210113,Call,164.7,73,35
4,STAY,2021/04/16,$180.00K,15.65,15.04,2021/01/14 04:04,20210113,Call,180.0,73,35
5,KR,2021/04/16,$348.82K,32.0,31.94,2021/01/14 03:51,20210113,Call,348.82,73,35
6,DISH,2022/01/21,$1.08M,25.0,32.68,2021/01/14 03:44,20210113,Put,1080.0,353,315
7,DISH,2022/01/21,$495.00K,60.0,32.69,2021/01/14 03:44,20210113,Call,495.0,353,315
8,DISH,2022/01/21,$1.97M,35.0,32.69,2021/01/14 03:44,20210113,Call,1970.0,353,315
9,GSAT,2021/07/16,$175.00K,1.0,0.83,2021/01/14 03:40,20210113,Call,175.0,164,126
10,BLMN,2021/04/16,$3.25M,15.0,21.07,2021/01/14 03:39,20210113,Call,3250.0,73,35
11,BYND,2021/06/18,$20.63M,155.0,125.77,2021/01/14 03:39,20210113,Put,20630.0,136,98
12,TAK,2022/01/21,$360.00K,25.0,18.02,2021/01/14 03:38,20210113,Call,360.0,353,315
13,CSCO,2021/03/19,$2.54M,50.0,45.49,2021/01/14 03:37,20210113,Put,2540.0,45,7
14,CSCO,2021/03/19,$290.00K,50.0,45.49,2021/01/14 03:37,20210113,Call,290.0,45,7
15,XOM,2021/07/16,$705.00K,47.5,48.65,2021/01/14 03:33,20210113,Put,705.0,164,126
16,CCL,2022/01/21,$805.00K,27.5,20.13,2021/01/14 03:29,20210113,Call,805.0,353,315
17,NIO,2022/01/21,$2.75M,85.0,62.29,2021/01/14 03:28,20210113,Call,2750.0,353,315
18,SPWR,2021/06/18,$126.00K,10.0,31.78,2021/01/14 03:28,20210113,Put,126.0,136,98
19,MOMO,2021/04/16,$312.66K,17.0,15.91,2021/01/14 03:27,20210113,Call,312.66,73,35
20,SFM,2021/03/19,$305.96K,21.0,20.5,2021/01/14 03:26,20210113,Put,305.96,45,7
21,GOGO,2021/03/19,$180.00K,13.0,11.74,2021/01/14 03:22,20210113,Call,180.0,45,7
22,DBX,2021/04/16,$1.06M,19.0,22.34,2021/01/14 03:20,20210113,Put,1060.0,73,35
23,NIO,2022/01/21,$2.98M,50.0,62.4,2021/01/14 03:19,20210113,Put,2980.0,353,315
24,NIO,2022/01/21,$2.89M,100.0,62.4,2021/01/14 03:19,20210113,Call,2890.0,353,315
25,AAL,2021/03/19,$76.40K,22.0,15.59,2021/01/14 03:18,20210113,Call,76.4,45,7
26,MGNI,2021/06/18,$2.01M,40.0,28.02,2021/01/14 03:08,20210113,Call,2010.0,136,98
27,MGNI,2021/06/18,$648.64K,45.0,28.08,2021/01/14 03:07,20210113,Call,648.64,136,98
28,BP,2021/06/18,$421.20K,24.0,24.85,2021/01/14 03:05,20210113,Put,421.2,136,98
29,ZM,2021/05/21,$55.50M,280.0,373.3,2021/01/14 02:59,20210113,Call,55500.0,108,70
30,FANG,2021/03/19,$4.36M,65.0,62.54,2021/01/14 02:57,20210113,Call,4360.0,45,7
31,FANG,2021/03/19,$1.65M,55.0,62.54,2021/01/14 02:57,20210113,Call,1650.0,45,7
32,FANG,2021/03/19,$2.88M,50.0,62.54,2021/01/14 02:57,20210113,Call,2880.0,45,7
33,SKT,2021/03/19,$701.31K,13.0,11.49,2021/01/14 02:54,20210113,Put,701.31,45,7
34,SABR,2021/04/16,$37.78K,20.0,12.35,2021/01/14 02:51,20210113,Call,37.78,73,35
