,Symbol,u_cnt,cnt,call,put,recent_7,if,call_ratio
1181,ZYNE,1,3,3.0,,0,0,1.0
735,NOG,1,1,,1.0,0,0,
739,NOW,1,1,,1.0,0,0,
744,NTAP,1,1,1.0,,0,0,1.0
320,DMYD,1,1,1.0,,1,1,1.0
319,DMTK,1,1,1.0,,0,0,1.0
318,DMRC,1,1,,1.0,0,0,
749,NUS,1,1,,1.0,0,0,
750,NUVA,1,2,2.0,,2,0,1.0
751,NVAX,1,2,2.0,,0,0,1.0
757,NWSA,1,2,1.0,1.0,0,0,0.5
758,NXE,1,3,,3.0,0,0,
309,DHR,1,1,1.0,,0,0,1.0
760,NYCB,1,1,1.0,,0,0,1.0
763,OKE,1,1,1.0,,1,0,1.0
764,OLN,1,1,,1.0,1,0,
305,DE,1,1,1.0,,0,0,1.0
304,DDS,1,2,1.0,1.0,0,0,0.5
765,OMC,1,1,,1.0,0,0,
768,OMF,1,1,,1.0,0,0,
769,OMI,1,3,1.0,2.0,0,0,0.3333333333333333
775,OR,1,1,,1.0,1,0,
777,OSW,1,1,1.0,,0,0,1.0
779,OTIS,1,1,1.0,,0,0,1.0
329,DSX,1,1,,1.0,0,0,
330,DT,1,1,1.0,,0,0,1.0
332,DVA,1,1,1.0,,0,0,1.0
729,NLOK,1,2,,2.0,0,0,
366,ERII,1,1,1.0,,0,0,1.0
364,ERF,1,1,,1.0,0,0,
678,MMM,1,1,1.0,,0,0,1.0
361,EQH,1,1,1.0,,0,0,1.0
681,MNST,1,2,1.0,1.0,0,0,0.5
358,EPC,1,1,1.0,,0,0,1.0
357,EOLS,1,1,1.0,,0,0,1.0
689,MPW,1,1,,1.0,0,0,
354,ENLC,1,1,1.0,,1,1,1.0
699,MTRX,1,2,,2.0,0,0,
700,MTSI,1,1,,1.0,0,0,
296,DAR,1,1,1.0,,0,0,1.0
702,MUFG,1,1,1.0,,0,0,1.0
349,ELS,1,1,,1.0,0,0,
709,NBIX,1,1,1.0,,0,0,1.0
